# 241014_17:09:13.901837
t	CH1	CH2
0.000000e+00	-1.006484e-02	1.541795e+00
1.000000e-08	-1.290699e-02	1.525013e+00
2.000000e-08	-1.101867e-02	1.510163e+00
3.000000e-08	-9.349525e-03	1.484266e+00
4.000000e-08	-8.682754e-03	1.470316e+00
5.000000e-08	-9.680743e-03	1.452524e+00
6.000000e-08	-9.583296e-03	1.430534e+00
7.000000e-08	-7.042622e-03	1.412316e+00
8.000000e-08	-6.236903e-03	1.388213e+00
9.000000e-08	-7.025683e-03	1.367015e+00
1.000000e-07	-8.189443e-03	1.340903e+00
1.100000e-07	-7.032224e-03	1.323048e+00
1.200000e-07	-5.601333e-03	1.299900e+00
1.300000e-07	-5.895161e-03	1.275740e+00
1.400000e-07	-6.248851e-03	1.254574e+00
1.500000e-07	-6.893746e-03	1.228329e+00
1.600000e-07	-6.071836e-03	1.204005e+00
1.700000e-07	-6.169097e-03	1.183940e+00
1.800000e-07	-5.857396e-03	1.148381e+00
1.900000e-07	-6.330504e-03	1.126001e+00
2.000000e-07	-5.641483e-03	1.093737e+00
2.100000e-07	-5.384669e-03	1.070624e+00
2.200000e-07	-5.247469e-03	1.046965e+00
2.300000e-07	-5.901362e-03	1.015590e+00
2.400000e-07	-6.438387e-03	9.873712e-01
2.500000e-07	-5.570318e-03	9.607895e-01
2.600000e-07	-4.746344e-03	9.311213e-01
2.700000e-07	-4.642558e-03	9.049582e-01
2.800000e-07	-6.191087e-03	8.663315e-01
2.900000e-07	-4.631146e-03	8.461504e-01
3.000000e-07	-4.715142e-03	8.126771e-01
3.100000e-07	-4.393342e-03	7.840602e-01
3.200000e-07	-4.975145e-03	7.544143e-01
3.300000e-07	-5.289346e-03	7.147496e-01
3.400000e-07	-4.857827e-03	6.882164e-01
3.500000e-07	-4.435009e-03	6.580450e-01
3.600000e-07	-4.566519e-03	6.252105e-01
3.700000e-07	-5.258535e-03	5.946396e-01
3.800000e-07	-4.516885e-03	5.608534e-01
3.900000e-07	-3.990606e-03	5.293260e-01
4.000000e-07	-3.566128e-03	4.915691e-01
4.100000e-07	-4.536592e-03	4.617403e-01
4.200000e-07	-4.665840e-03	4.262638e-01
4.300000e-07	-4.954746e-03	3.926317e-01
4.400000e-07	-3.606733e-03	3.559051e-01
4.500000e-07	-5.617541e-03	3.289687e-01
4.600000e-07	-1.617825e-03	2.955892e-01
4.700000e-07	-8.942045e-03	2.589552e-01
4.800000e-07	-2.180842e-03	2.271169e-01
4.900000e-07	-5.959312e-03	1.976373e-01
5.000000e-07	-2.218542e-03	1.669055e-01
5.100000e-07	-3.528514e-03	1.261187e-01
5.200000e-07	-2.385514e-03	8.742194e-02
5.300000e-07	-1.854333e-04	5.668458e-02
5.400000e-07	-5.584750e-03	2.070302e-02
5.500000e-07	-1.332555e-03	-1.372369e-02
5.600000e-07	-5.755175e-03	-4.194202e-02
5.700000e-07	1.211768e-02	-7.292946e-02
5.800000e-07	-5.539810e-03	-1.054625e-01
5.900000e-07	8.241085e-03	-1.452969e-01
6.000000e-07	6.903502e-04	-1.696262e-01
6.100000e-07	3.015711e-03	-1.969969e-01
6.200000e-07	-5.784440e-03	-2.316332e-01
6.300000e-07	1.869200e-02	-2.558344e-01
6.400000e-07	8.556370e-02	-2.872526e-01
6.500000e-07	4.230511e-02	-3.441362e-01
6.600000e-07	-1.019423e-01	-3.843225e-01
6.700000e-07	2.892465e-02	-4.159320e-01
6.800000e-07	-5.679849e-02	-4.410926e-01
6.900000e-07	-6.909995e-02	-4.676681e-01
7.000000e-07	-1.062933e-01	-4.902211e-01
7.100000e-07	1.970447e-01	-5.069449e-01
7.200000e-07	-5.226006e-02	-5.623054e-01
7.300000e-07	-1.030221e-02	-5.826500e-01
7.400000e-07	1.287493e-01	-6.125735e-01
7.500000e-07	-1.795548e-01	-6.725284e-01
7.600000e-07	1.484483e-01	-6.775136e-01
7.700000e-07	-1.378185e-01	-7.402888e-01
7.800000e-07	3.145897e-02	-7.439538e-01
7.900000e-07	7.136385e-02	-7.820440e-01
8.000000e-07	-1.136025e-01	-8.222630e-01
8.100000e-07	1.788555e-01	-8.354583e-01
8.200000e-07	-1.512835e-01	-8.970854e-01
8.300000e-07	9.273044e-02	-9.007399e-01
8.400000e-07	-6.869590e-02	-9.506098e-01
8.500000e-07	-9.283036e-03	-9.683689e-01
8.600000e-07	8.745427e-02	-9.885575e-01
8.700000e-07	-1.113893e-01	-1.033620e+00
8.800000e-07	1.600059e-01	-1.035882e+00
8.900000e-07	-1.167530e-01	-1.091413e+00
9.000000e-07	7.152113e-02	-1.099782e+00
9.100000e-07	-7.268663e-02	-1.140036e+00
9.200000e-07	1.558118e-02	-1.160947e+00
9.300000e-07	2.000009e-02	-1.185342e+00
9.400000e-07	-1.710913e-02	-1.219892e+00
9.500000e-07	7.159954e-02	-1.231719e+00
9.600000e-07	-5.904837e-02	-1.268258e+00
9.700000e-07	5.049768e-02	-1.290240e+00
9.800000e-07	-5.838747e-02	-1.318981e+00
