# Configuracion:
# Concentracion g/m^3_=_14924.999999999998
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_308264.7571455291
# 
Resultados:
# tau_s_=_(6.72+/-1.48)e+01
# dphi_rad_=_6.41+/-0.03
# SAR_W/g_=_531.53+/-74.28
# Hc_kA/m_=_9.41+/-1.50
# Mr_A/m_=_283.45+/-53.20
# Suceptibilidad_a_M=0_=_0.0362+/-0.0093
Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_150dA_100Mss_bobN1C10008.txt	65.43	-186.73	246.39	14.96	57041.50	698.50	3.082343e+05	2.863123e+01	6.511192e+00	798.74	119.809697	4542	1.858e-02
300kHz_150dA_100Mss_bobN1C10009.txt	65.95	-181.68	242.23	15.06	57041.50	672.27	3.082343e+05	2.781887e+01	6.513925e+00	785.22	121.297415	4542	1.823e-02
300kHz_150dA_100Mss_bobN1C10010.txt	66.45	-176.07	243.09	14.75	57041.50	668.81	3.082343e+05	2.766841e+01	6.510310e+00	768.95	119.328249	4542	1.866e-02
300kHz_150dA_100Mss_bobN1C10011.txt	66.96	-170.26	241.32	14.92	57041.50	654.00	3.082343e+05	2.730115e+01	6.508967e+00	754.33	118.598772	4542	1.871e-02
300kHz_150dA_100Mss_bobN1C10012.txt	67.46	-164.51	239.34	14.61	57041.50	649.86	3.083021e+05	2.703049e+01	6.509840e+00	749.86	119.074086	4541	1.850e-02
300kHz_150dA_100Mss_bobN1C10013.txt	67.96	-158.76	234.15	14.49	57041.50	644.17	3.082343e+05	2.690016e+01	6.506000e+00	733.65	116.987718	4542	1.830e-02
300kHz_150dA_100Mss_bobN1C10014.txt	68.46	-153.33	233.74	14.32	57041.50	642.99	3.082343e+05	2.693085e+01	6.501954e+00	721.36	114.792738	4542	1.864e-02
300kHz_150dA_100Mss_bobN1C10015.txt	68.97	-147.82	230.18	13.97	57041.50	645.28	3.082343e+05	2.702272e+01	6.497402e+00	708.99	112.327515	4542	1.856e-02
300kHz_150dA_100Mss_bobN1C10016.txt	69.46	-143.04	232.12	13.96	57041.50	638.49	3.082343e+05	2.666427e+01	6.501339e+00	712.25	114.459397	4542	1.869e-02
300kHz_150dA_100Mss_bobN1C10017.txt	69.97	-138.09	230.53	13.78	57041.50	642.30	3.083021e+05	2.688599e+01	6.495588e+00	699.68	111.347197	4541	1.889e-02
300kHz_150dA_100Mss_bobN1C10018.txt	70.49	-133.98	224.64	13.55	57041.50	637.99	3.083021e+05	2.675888e+01	6.491397e+00	682.83	109.084484	4541	1.853e-02
